,address,name,I1,I2,I6,I7,I8,I9
0,0xf3e70642c28f3f707408c56624c2f30ea9f9fce3,AlbosToken,0,testfull10,0,0,0,0
1,0x56f527c3f4a24bb2beba449ffd766331da840ffa,BTYCToken,0,2,0,0,testfull10,0
2,0x0b76544f6c413a555f309bf76260d1e02377c02a,INT,2,testfull1,0,0,0,2
3,0xf7d3320c4676d11d67338b766a9df99996d19777,MKC,0,0,0,testfull10,0,0
4,0xb57919aebb30812ae188dbe238bc907d56ba4a3a,EveryCoin,0,testfull10,0,0,0,0
5,0x45e5997a4a69ca3d8eb38892bd7d5dad8eadea2b,TCZToken,0,0,testfull10,0,0,0
6,0xb87972abbfc219664e4a2f52954f5b9cedf7ea33,ExpressCoin,2,testfull10,0,0,0,0
7,0x9ef0eb9d97e4e7c8612d4e5aaf9201e35bd3670b,EAI_TokenERC,testfull10,testfull10,0,0,0,0
8,0x47dd62d4d075dead71d0e00299fc56a2d747bebb,EqualToken,0,2,0,0,0,testfull10
9,0xeb7c20027172e5d143fb030d50f91cece2d1485d,EBTC,0,0,testfull10,testfull10,0,0
10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH9,0,0,testfull10,testfull10,0,0
11,0x5b0ea5b1735046b2e10ee8feb404d2d5f1e1ad4b,EMBCToken,0,0,0,testfull10,0,0
12,0x70aa2ba250e71850b457e5dae83fe0e883a4c3a5,Penchant,0,testfull10,0,0,0,0
13,0xcfac2916ec118a0252a7766c513ee7c71b384b5e,HoryouToken,0,2,0,testfull1,2,0
14,0xe7d7b37e72510309db27c460378f957b1b04bd5d,EMPR,2,testfull10,0,0,0,0
15,0x219218f117dc9348b358b8471c55a073e5e0da0b,GRX,2,testfull1,0,0,0,2
16,0x4ab3ffdab88d5a73215b6adb8fb06c0730e2baa4,Tube,2,testfull1,0,0,0,2
17,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,AEToken,testfull1,0,0,0,0,0
